序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920069,N普昂,43.48,136.56,25.1,96834.0,410012517.63,65.94,50.0,37.88,39.0,18.38,,65.53,25.63,3.06,2300700720.0,642535918.0,0.16,0.18,136.56,136.56
2,300204,舒泰神,27.76,20.02,4.63,557081.0,1441607885.42,21.14,27.76,22.87,22.98,23.13,4.8,12.28,-324.12,15.23,13262966127.0,12593726548.0,0.0,0.0,2.44,1.61
3,300461,田中精机,55.63,20.0,9.27,159617.0,827588909.5,17.71,55.63,47.42,47.61,46.36,1.55,11.11,1387.96,16.43,8737063776.0,7994212187.0,0.0,0.0,188.24,191.56
4,688068,热景生物,132.13,20.0,22.02,53521.0,669216587.0,22.3,132.13,107.57,109.08,110.11,2.98,5.77,-58.19,4.92,12249500112.0,12249500112.0,0.0,0.0,-20.45,-18.44
5,301292,海科新源,96.29,20.0,16.05,307922.0,2710582452.95,22.68,96.29,78.09,80.01,80.24,1.26,36.2,-125.68,7.92,21453005464.0,8191260020.0,0.0,0.0,60.86,49.5
6,300858,科拓生物,18.19,19.99,3.03,152937.0,264331271.81,20.98,18.19,15.01,15.01,15.16,4.91,7.81,47.16,2.62,4792976196.0,3560513365.0,0.0,0.0,9.31,8.47
7,300054,鼎龙股份,53.07,17.33,7.84,1172604.0,6073085441.2,14.06,54.28,47.92,47.92,45.23,4.06,15.89,69.86,9.69,50313935697.0,39155815462.0,0.06,0.13,35.38,41.14
8,300765,新诺威,32.28,14.63,4.12,230637.0,714154048.44,19.5,33.32,27.83,27.83,28.16,2.16,1.64,-188.04,17.0,45340260232.0,45340260232.0,0.25,0.22,-17.86,-10.51
9,688710,益诺思,65.99,14.57,8.39,33600.0,214697815.0,17.24,68.0,58.07,58.69,57.6,3.55,3.7,-304.87,4.0,9303244794.0,5984894684.0,0.14,0.05,43.05,49.47
10,300390,天华新能,64.01,12.99,7.36,698992.0,4292421746.51,17.39,65.85,56.0,57.12,56.65,1.42,10.4,132.22,4.68,53176357940.0,43031847860.0,0.19,0.16,16.38,17.21
11,301201,诚达药业,46.34,12.86,5.28,109784.0,491361170.14,16.27,46.68,40.0,40.55,41.06,4.44,10.11,320.57,3.37,7169438604.0,5029943047.0,-0.22,0.52,11.13,13.86
12,688796,百奥赛图,92.88,12.68,10.45,29053.0,257552111.0,14.53,93.17,81.19,82.19,82.43,1.65,8.1,239.65,19.08,41507925250.0,3333244096.0,0.0,-0.11,82.62,76.58
13,688506,百利天恒,286.78,12.46,31.78,34450.0,952622810.0,14.09,288.93,253.0,253.99,255.0,2.34,0.83,-112.7,17.88,118403953239.0,118403953239.0,0.0,0.84,-17.92,-11.24
14,300877,金春股份,27.55,12.13,2.98,65632.0,176501823.88,18.6,28.88,24.31,24.56,24.57,1.96,5.47,33.57,1.98,3306000000.0,3305971073.0,0.0,-0.18,4.59,-5.88
15,688455,科捷智能,24.15,12.12,2.61,53417.0,124941449.0,16.76,24.68,21.07,21.28,21.54,2.17,3.18,127.72,4.26,4057940584.0,4057940584.0,0.04,0.04,22.78,20.21
16,300868,杰美特,54.88,11.77,5.78,125304.0,658417080.96,17.01,55.43,47.08,48.22,49.1,1.0,15.51,-209.64,4.66,7022005760.0,4432300935.0,0.13,0.05,84.66,73.12
17,688382,益方生物-U,19.99,11.61,2.08,278391.0,537636340.0,15.3,20.5,17.76,17.84,17.91,1.65,4.81,-36.49,7.52,11561186335.0,11561186335.0,0.35,0.4,-32.24,-26.62
18,300518,新迅达,20.72,11.4,2.12,154691.0,314817148.53,15.54,21.17,18.28,18.28,18.6,1.99,7.76,-111.8,5.5,4131807855.0,4131438003.0,-0.19,-0.1,22.46,18.4
19,300082,奥克股份,10.83,11.31,1.1,652992.0,693695510.66,19.94,11.51,9.57,9.6,9.73,3.22,9.63,-841.92,2.69,7365463506.0,7346221444.0,0.0,-0.18,7.55,9.39
20,300584,海辰药业,45.18,11.17,4.54,130883.0,580127219.2,16.78,46.98,40.16,40.24,40.64,3.58,15.94,124.43,5.2,5421600000.0,3709763504.0,0.07,0.04,-12.02,-10.04
21,300683,海特生物,38.81,10.95,3.83,168807.0,634290832.77,15.89,39.5,33.94,34.62,34.98,1.77,13.83,-24.1,2.27,5080011315.0,4737328717.0,-0.1,0.03,39.05,39.96
22,688197,首药控股-U,38.82,10.72,3.76,30104.0,114140465.0,14.43,39.49,34.43,34.96,35.06,1.75,4.7,-44.81,8.49,5773284895.0,2484669519.0,0.0,-0.1,5.81,11.74
23,688195,腾景科技,294.0,10.61,28.21,105746.0,2959255029.0,16.54,296.33,252.37,255.0,265.79,0.93,8.18,538.7,38.48,38028900000.0,38028900000.0,0.38,0.51,63.33,73.4
24,688759,必贝特-U,39.29,10.61,3.77,47251.0,178900444.0,12.5,39.45,35.01,35.46,35.52,1.86,10.17,-115.51,10.59,17681940254.0,1825491233.0,0.08,0.03,34.1,35.2
25,300057,万顺新材,6.61,10.35,0.62,1095620.0,706594904.91,13.02,6.66,5.88,5.9,5.99,2.92,15.11,-51.11,1.14,5934074481.0,4793218391.0,0.15,0.0,15.76,16.17
26,000822,山东海化,6.45,10.07,0.59,753883.0,480843681.72,8.02,6.45,5.98,6.04,5.86,1.72,8.42,-4.16,1.51,5773342923.0,5773342923.0,0.0,0.0,21.93,22.86
27,600470,六国化工,7.43,10.07,0.68,828474.0,592321975.0,11.26,7.43,6.67,6.68,6.75,1.38,15.88,-14.02,2.38,3875488000.0,3875488000.0,0.0,0.0,22.61,24.25
28,002068,黑猫股份,9.2,10.05,0.84,529163.0,469715892.47,11.84,9.2,8.21,8.27,8.36,1.86,7.2,-23.99,2.52,6765175803.0,6762053553.0,0.0,0.0,1.77,4.31
29,600227,赤天化,4.27,10.05,0.39,3202950.0,1342562289.0,12.89,4.27,3.77,3.77,3.88,1.04,25.07,-35.47,3.01,7210867215.0,5455351159.0,0.0,0.0,70.8,79.41
30,603399,永杉锂业,11.72,10.05,1.07,477238.0,543215948.0,12.3,11.72,10.41,10.46,10.65,2.26,9.32,-27.58,3.62,6004046406.0,6004046406.0,0.0,0.0,7.23,12.8
31,688799,华纳药厂,53.99,10.05,4.93,122344.0,652034418.0,16.12,56.0,48.09,48.09,49.06,3.09,9.32,29.36,3.47,7089966800.0,7089966800.0,0.07,0.09,9.98,13.19
32,002176,江特电机,10.29,10.05,0.94,947326.0,937669802.17,11.44,10.29,9.22,9.24,9.35,1.69,5.55,-116.63,5.17,17558090228.0,17554936704.0,0.0,0.0,5.76,5.65
33,600748,上实发展,5.37,10.04,0.49,367113.0,187988955.0,11.27,5.37,4.82,4.86,4.88,2.45,1.99,-16.03,0.95,9905302730.0,9905302730.0,0.0,0.0,0.75,-0.92
34,600110,诺德股份,8.66,10.04,0.79,1761690.0,1450085014.0,12.83,8.66,7.65,7.7,7.87,1.47,10.15,-120.22,2.55,15026666871.0,15026666871.0,0.0,0.0,23.19,22.14
35,000890,法尔胜,13.48,10.04,1.23,661552.0,869247971.21,8.41,13.48,12.45,13.09,12.25,0.8,15.77,-186.3,-1020.17,5654913489.0,5654739300.0,0.0,0.0,149.63,165.88
36,001313,粤海饲料,7.56,10.04,0.69,182599.0,134661267.08,9.9,7.56,6.88,6.88,6.87,2.03,2.61,151.5,2.08,5292000000.0,5285391434.0,0.0,0.0,-2.2,3.28
37,002310,东方新能,3.84,10.03,0.35,5490357.0,2027987049.41,16.91,3.84,3.25,3.38,3.49,0.66,13.08,-8363.26,14.99,23037396929.0,16124350913.0,0.0,0.0,65.52,70.67
38,600769,祥龙电业,13.6,10.03,1.24,124298.0,164307199.0,10.92,13.6,12.25,12.27,12.36,1.06,3.31,222.24,42.44,5099689920.0,5099689920.0,0.0,0.0,14.0,12.96
39,603585,苏利股份,20.74,10.03,1.89,32481.0,66753739.0,6.21,20.74,19.57,19.6,18.85,0.92,1.78,20.88,1.53,3876134418.0,3789959718.0,0.0,0.0,9.04,9.97
40,600982,宁波能源,7.35,10.03,0.67,2269107.0,1560660761.0,16.02,7.35,6.28,6.43,6.68,1.28,20.3,25.49,1.87,8214562015.0,8214562015.0,0.0,0.0,66.29,69.35
41,002272,川润股份,17.66,10.03,1.61,482972.0,796913763.4,12.21,17.66,15.7,15.85,16.05,0.92,12.5,-296.55,5.74,8562933118.0,6825463696.0,0.0,3.88,10.93,8.01
42,603076,乐惠国际,28.12,10.02,2.56,63726.0,175955134.0,11.82,28.12,25.1,25.3,25.56,1.91,5.28,75.76,2.62,3394121793.0,3394121793.0,0.0,0.0,17.12,19.97
43,002265,建设工业,25.03,10.02,2.28,224278.0,550324822.47,11.12,25.03,22.5,22.55,22.75,1.04,2.17,647.92,7.08,25857001387.0,25857001387.0,0.0,0.0,-0.75,-6.67
44,000553,安道麦A,6.48,10.02,0.59,259508.0,162532503.71,11.38,6.48,5.81,5.81,5.89,1.68,1.19,-26.78,0.82,15097180244.0,14107426307.0,0.0,0.0,9.83,18.25
45,603978,深圳新星,25.69,10.02,2.34,159308.0,394732909.0,12.12,25.69,22.86,22.86,23.35,1.62,7.55,-65.78,3.59,5423012541.0,5423012541.0,0.0,0.0,-9.13,-9.03
46,600513,联环药业,25.61,10.01,2.33,265379.0,669030913.0,11.86,25.61,22.85,22.85,23.28,2.2,9.3,-156.38,5.48,7310535075.0,7310535075.0,0.0,0.0,44.2,39.87
47,002294,信立泰,61.88,10.01,5.63,123918.0,742606532.3,10.81,61.88,55.8,56.2,56.25,1.67,1.11,89.1,7.86,68984847186.0,68969327744.0,0.0,0.0,8.94,24.88
48,600338,西藏珠峰,17.48,10.01,1.59,1040453.0,1760998132.0,11.77,17.48,15.61,15.68,15.89,2.22,11.38,27.46,3.67,15980393737.0,15980393737.0,0.0,0.0,22.58,16.22
49,603618,杭电股份,24.28,10.01,2.21,844115.0,1923856538.0,16.31,24.28,20.68,21.4,22.07,0.86,12.21,-57.39,6.19,16786599956.0,16786599956.0,0.0,0.0,175.28,201.24
50,603324,盛剑科技,25.5,10.01,2.32,60881.0,149878883.0,11.86,25.5,22.75,22.83,23.18,1.4,4.12,91.98,2.24,3765829290.0,3765829290.0,0.0,0.0,-3.77,2.95
51,603115,海星股份,43.43,10.01,3.95,210105.0,859298573.0,13.75,43.43,38.0,38.5,39.48,1.59,8.69,53.55,5.09,10505300072.0,10505300072.0,0.0,0.0,132.37,132.12
52,600727,鲁北化工,7.8,10.01,0.71,299626.0,230458258.0,7.76,7.8,7.25,7.25,7.09,1.54,5.67,71.27,1.29,4122948453.0,4122948453.0,0.0,0.0,14.2,14.04
53,000695,滨海能源,14.29,10.01,1.3,298876.0,417703928.0,11.09,14.29,12.85,12.93,12.99,1.83,13.47,-50.24,29.32,3311738066.0,3169681534.0,0.0,0.0,5.07,12.43
54,000155,川能动力,16.16,10.01,1.47,1066397.0,1650010325.23,11.78,16.16,14.43,14.52,14.69,1.77,5.78,64.39,2.89,29834080407.0,29834080407.0,0.0,0.0,34.67,38.71
